8,11,6,10,9,10,3,4,9,11,5,8,7,8,4,6,13,12,3,3,3,4,4,7,6,6,4,4,4,7,3,6,9,10,5,9,12,10,3,7,8,10,5,8,10,9,3,6,14,10,2,5,4,4,3,6,7,10,4,5,6,6,3,2,9,8,4,9,11,8,5,11,9,5,3,7,9,9,6,9,14,4,3,2,4,9,3,10,6,5,3,4,6,7,3,4,10,7,4,9,8,10,5,10,10,8,3,5,6,8,6,14,11,9,2,3,4,6,4,12,5,5,4,5,4,8,4,4,Black_footed_Albatross
14,7,2,7,13,10,4,9,10,6,2,7,10,10,4,6,11,9,3,6,8,6,3,4,10,7,4,7,9,9,4,6,14,8,2,7,14,10,3,9,7,5,2,8,11,10,2,3,10,5,2,9,8,5,3,2,12,8,5,8,10,7,4,5,14,9,4,9,14,7,3,9,7,3,2,10,11,7,3,5,10,2,3,5,8,8,2,6,12,6,4,7,10,8,4,9,14,9,5,9,13,8,2,8,10,8,4,8,10,6,3,8,10,5,3,7,8,7,3,9,12,5,4,9,10,9,4,9,Black_footed_Albatross
12,10,7,9,10,9,7,11,7,7,5,6,8,11,7,8,8,8,6,7,6,7,7,7,9,9,8,8,6,9,7,9,12,11,8,8,11,9,9,11,5,7,6,8,9,9,6,5,9,8,5,9,6,7,6,6,10,11,8,9,8,8,7,6,12,10,10,10,10,7,8,12,6,6,6,10,9,7,7,6,8,6,7,7,6,10,5,6,9,10,7,9,8,10,7,9,11,10,8,9,9,10,8,10,8,10,7,10,8,6,7,8,7,9,6,9,6,9,8,8,9,9,8,10,7,11,9,9,Black_footed_Albatross
11,7,3,8,12,10,5,11,7,7,2,8,11,10,3,7,10,10,3,7,8,6,3,6,11,9,4,7,9,8,3,8,12,8,3,8,14,12,4,10,5,6,3,10,13,11,2,3,11,8,2,10,9,6,3,3,12,11,4,8,10,8,4,6,12,9,4,11,14,8,3,10,5,4,2,11,13,10,4,6,11,3,2,5,9,11,3,9,12,7,3,7,10,9,4,9,12,9,3,10,13,9,3,8,8,7,3,10,10,8,3,10,10,6,3,8,8,9,4,11,11,7,4,10,10,10,4,8,Black_footed_Albatross
12,13,8,8,7,9,8,13,6,8,5,7,6,11,9,11,6,9,8,9,8,9,9,9,9,11,10,10,8,11,9,12,12,13,8,9,8,10,10,13,5,10,7,9,8,11,7,9,7,8,5,11,9,9,9,11,10,12,11,12,10,11,9,10,12,13,10,13,8,7,8,14,6,10,8,13,8,7,7,9,7,8,9,9,9,11,6,9,8,11,9,11,10,11,9,13,11,11,8,11,8,10,7,14,7,13,9,11,6,6,7,11,5,11,9,11,8,9,7,10,9,10,9,13,8,11,10,13,Black_footed_Albatross
9,11,8,6,3,4,3,4,15,11,5,3,2,5,1,8,15,9,4,3,2,3,3,7,5,2,4,3,2,3,3,5,10,10,5,4,3,5,2,6,15,9,3,3,3,4,2,8,16,6,2,4,2,2,3,6,4,2,3,3,2,3,3,3,9,8,5,4,3,4,4,7,15,10,4,5,3,3,3,8,15,8,4,2,2,2,2,6,4,5,3,3,2,3,3,3,9,7,3,4,4,7,7,9,15,10,4,4,2,3,5,12,14,11,4,4,2,3,3,7,5,8,4,4,2,3,4,4,Black_footed_Albatross
7,10,8,9,6,9,12,10,4,8,7,7,6,11,10,8,5,10,9,5,4,6,10,8,5,8,10,7,4,8,12,9,7,10,10,12,8,10,13,10,3,12,13,14,9,11,8,7,10,14,10,10,4,5,10,10,6,11,11,7,5,7,12,7,6,8,9,12,8,8,10,9,5,7,8,12,9,11,13,10,9,8,9,5,5,11,13,14,6,9,10,7,6,8,10,9,7,9,11,10,7,10,7,9,6,10,11,11,6,6,8,9,6,9,10,9,4,7,9,10,6,9,10,8,4,8,11,8,Black_footed_Albatross
9,7,4,8,10,11,5,7,8,8,4,7,9,11,4,5,12,12,5,5,5,4,4,5,10,7,5,5,6,6,4,8,10,8,4,6,12,11,6,9,5,7,5,9,13,12,3,3,13,11,3,7,5,3,3,4,12,8,5,7,8,5,5,6,10,6,4,7,12,7,4,10,5,4,3,9,13,11,6,7,13,5,3,3,5,7,4,11,12,7,4,6,8,6,4,10,10,6,3,7,10,10,4,8,7,6,4,8,10,8,6,10,12,8,4,5,5,7,5,14,13,7,4,8,8,8,4,10,Black_footed_Albatross
6,8,9,9,6,9,8,7,9,8,5,6,4,8,6,8,13,9,7,4,3,3,5,11,7,6,8,4,3,6,7,11,7,6,6,7,7,8,7,10,9,7,4,5,5,10,5,9,14,7,3,5,2,4,7,11,6,6,7,4,3,5,6,7,7,5,5,7,7,6,5,8,9,10,4,6,5,7,5,6,13,8,5,4,2,5,4,8,6,6,6,4,3,4,6,5,7,4,3,5,6,10,6,6,10,11,5,5,5,5,6,8,12,13,6,5,3,4,7,8,8,9,8,5,3,4,7,7,Black_footed_Albatross
11,6,4,5,8,6,4,7,11,7,3,6,9,7,3,5,14,9,4,4,4,5,5,5,8,6,8,5,5,7,6,5,13,7,4,5,10,6,4,8,9,6,3,7,10,8,3,5,14,7,3,6,5,3,6,4,9,6,7,5,6,5,7,5,13,8,4,6,10,5,3,9,9,4,3,7,10,7,3,7,13,3,4,3,5,6,3,8,9,4,6,5,6,5,5,8,13,8,4,6,9,6,3,7,11,8,3,6,8,5,3,10,13,5,3,4,5,5,4,11,8,3,4,6,5,5,6,7,Black_footed_Albatross
